round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_2_trap_location,player_2_trap_type,bet_type,player_0_trap_location,player_0_trap_type,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
60,15,0,False,13,1,True,6,0,True,15,1,False,13,0,False,9,8,14,12,3.0,move_camel,c_0,,,12.0,1.0,,3.0,-1.0,14.0,1.0,2.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
61,15,0,False,15,2,False,6,0,True,15,1,False,13,0,False,10,8,14,12,0.0,move_camel,c_1,,,12.0,1.0,,3.0,-1.0,14.0,1.0,2.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
62,15,0,False,15,2,False,6,0,True,15,1,False,13,0,False,10,8,14,12,1.0,game_bet,c_1,,,12.0,1.0,win,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
63,15,0,False,15,2,False,6,0,True,15,1,False,13,0,False,10,8,14,12,2.0,game_bet,c_4,,,12.0,1.0,win,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
64,15,0,False,15,2,False,6,0,True,15,1,False,13,0,False,10,8,14,12,3.0,game_bet,c_4,,,12.0,1.0,win,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
65,15,0,True,15,2,True,8,0,True,15,1,True,13,0,True,14,16,13,12,0.0,move_camel,c_2,,,12.0,1.0,,3.0,-1.0,14.0,1.0,2.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
66,15,0,True,15,2,True,8,0,True,15,1,True,13,0,True,14,16,13,12,1.0,round_winner_bet,c_1,,,12.0,1.0,,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
67,15,0,True,15,2,True,8,0,True,15,1,True,13,0,True,14,16,13,12,2.0,round_winner_bet,c_1,,,12.0,1.0,,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
68,15,0,True,15,2,True,8,0,True,15,1,True,13,0,True,14,16,13,12,3.0,round_winner_bet,c_1,,,12.0,1.0,,3.0,-1.0,14.0,1.0,,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
69,15,0,True,18,1,True,8,0,True,18,0,True,13,0,True,15,21,17,18,0.0,move_camel,c_3,,,12.0,1.0,,3.0,-1.0,14.0,1.0,3.0,9.0,1.0,greedy_4player_g84,GreedyAgent,15,GreedyAgent,21,GreedyAgent,17,GreedyAgent,18,GreedyAgent
0,1,0,True,2,0,True,0,0,True,0,1,True,2,1,True,2,2,2,2,,,,,,,,,,,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
1,1,0,True,2,0,True,0,0,True,0,1,True,2,1,True,2,2,2,2,0.0,move_trap,,-1.0,3.0,,,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
2,1,0,True,2,0,True,0,0,True,0,1,True,2,1,True,2,2,2,2,1.0,round_winner_bet,c_4,,,,,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
3,1,0,True,2,0,True,0,0,True,0,1,True,2,1,True,2,2,2,2,2.0,round_winner_bet,c_1,,,,,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
4,1,0,True,2,0,True,0,0,True,0,1,True,2,1,True,2,2,2,2,3.0,round_winner_bet,c_4,,,,,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
5,1,0,True,2,0,True,0,0,True,0,1,True,5,0,False,3,2,2,2,0.0,move_camel,c_4,,,,,,3.0,-1.0,,,3.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
6,1,0,True,2,0,True,0,0,True,0,1,True,5,0,False,3,2,2,2,1.0,round_winner_bet,c_4,,,,,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
