round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,game_id,active_player,action_type,camel,ev,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,bet_type,player_2_trap_location,player_2_trap_type,player_0_trap_location,player_0_trap_type,player_3_trap_location,player_3_trap_type
94,7,0,True,10,0,True,12,1,False,8,0,False,12,0,True,25,24,25,25,56,1.0,move_camel,c_3,0.75,,,13.0,1.0,2.0,,9.0,-1.0,11.0,1.0,15.0,1.0
95,7,0,True,14,0,False,12,1,False,8,0,False,12,0,True,25,25,26,25,56,2.0,move_camel,c_1,0.75,,,13.0,1.0,4.0,,9.0,-1.0,11.0,1.0,15.0,1.0
96,7,0,True,14,0,False,12,1,False,8,0,False,12,0,True,25,25,26,25,56,3.0,round_winner_bet,c_4,1.0,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
97,7,0,True,14,0,False,14,2,False,8,0,False,14,1,False,26,26,26,25,56,0.0,move_camel,c_4,0.75,,,13.0,1.0,2.0,,9.0,-1.0,11.0,1.0,15.0,1.0
98,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,1.0,move_camel,c_0,0.75,,,13.0,1.0,1.0,,9.0,-1.0,11.0,1.0,15.0,1.0
99,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,2.0,round_winner_bet,c_2,4.9399999999999995,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
100,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,3.0,round_winner_bet,c_2,2.972,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
101,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,0.0,round_winner_bet,c_2,1.974,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
102,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,1.0,round_winner_bet,c_4,0.952,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
103,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,2.0,round_winner_bet,c_4,0.942,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
104,8,0,True,14,0,True,14,2,True,8,1,True,14,1,True,28,32,27,30,56,3.0,round_winner_bet,c_4,0.94,,,13.0,1.0,,,9.0,-1.0,11.0,1.0,15.0,1.0
105,10,0,False,14,0,True,14,2,True,10,1,True,14,1,True,29,32,27,30,56,0.0,move_camel,c_0,0.75,,,13.0,1.0,2.0,,9.0,-1.0,11.0,1.0,15.0,1.0
106,10,0,True,17,0,True,17,2,True,10,1,True,17,1,True,31,39,38,47,56,1.0,move_camel,c_1,0.75,,,13.0,1.0,3.0,,9.0,-1.0,11.0,1.0,15.0,1.0
0,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,,,,,,,,,,,,,,,,
1,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,0.0,round_winner_bet,c_1,1.8780000000000001,,,,,,,,,,,,
2,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,1.0,move_trap,,1.3399999999999999,-1.0,3.0,3.0,-1.0,,,,,,,,
3,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,2.0,round_winner_bet,c_0,1.1580000000000001,,,3.0,-1.0,,,,,,,,
4,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,3.0,move_trap,,1.0120000000000005,-1.0,5.0,3.0,-1.0,,,,,,,5.0,-1.0
5,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,0.0,game_bet,c_4,0.9024999999999999,,,3.0,-1.0,,lose,,,,,5.0,-1.0
6,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,1.0,game_bet,c_4,0.7837499999999997,,,3.0,-1.0,,lose,,,,,5.0,-1.0
7,2,1,True,2,2,True,1,0,True,2,0,True,0,0,True,2,2,2,2,57,2.0,game_bet,c_4,0.7837500000000002,,,3.0,-1.0,,lose,,,,,5.0,-1.0
