round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,distance,trap_type,trap_location,player_3_trap_location,player_3_trap_type,player_2_trap_location,player_2_trap_type,bet_type,player_1_trap_location,player_1_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
57,4,0,False,5,0,True,10,1,True,10,0,False,10,2,True,17,18,12,15,0.0,move_camel,c_3,0.0,,,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
58,4,0,False,5,0,True,10,1,True,10,0,False,10,2,True,17,18,12,15,1.0,round_winner_bet,c_4,,,,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
59,4,0,False,5,0,True,10,1,True,10,0,False,10,2,True,17,18,12,15,2.0,round_winner_bet,c_2,,,,11.0,-1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
60,4,0,False,5,0,True,10,1,True,10,0,False,10,2,True,17,18,12,15,3.0,move_trap,,,1.0,8.0,8.0,1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
61,4,0,False,5,0,True,12,0,False,10,0,False,12,1,True,18,18,12,15,0.0,move_camel,c_2,2.0,,,8.0,1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
62,4,0,False,5,0,True,12,0,False,10,0,False,12,1,True,18,18,12,15,1.0,round_winner_bet,c_2,,,,8.0,1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
63,4,0,False,7,0,False,12,0,False,10,0,False,12,1,True,18,18,13,15,2.0,move_camel,c_1,2.0,,,8.0,1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
64,4,0,True,7,0,True,12,0,True,10,0,True,16,0,True,18,31,21,32,3.0,move_camel,c_4,4.0,,,8.0,1.0,15.0,1.0,,13.0,1.0,fixed_order_4player_g166,RollAgent,18,GreedyAgent,31,GreedyAgent,21,GreedyAgent,32,GreedyAgent
0,0,0,True,1,0,True,0,1,True,2,0,True,1,1,True,2,2,2,2,,,,,,,,,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
1,0,0,True,1,0,True,0,1,True,2,0,True,2,1,False,3,2,2,2,0.0,move_camel,c_4,1.0,,,,,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
2,0,0,True,1,0,True,0,1,True,2,0,True,2,1,False,3,2,2,2,1.0,round_winner_bet,c_4,,,,,,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
3,0,0,True,1,0,True,0,1,True,2,0,True,2,1,False,3,2,2,2,2.0,round_winner_bet,c_2,,,,,,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
4,0,0,True,1,0,True,0,1,True,2,0,True,2,1,False,3,2,2,2,3.0,move_trap,,,-1.0,3.0,3.0,-1.0,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
5,2,0,False,1,0,True,2,1,True,2,2,True,2,3,False,4,2,2,3,0.0,move_camel,c_0,2.0,,,3.0,-1.0,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
6,2,0,False,1,0,True,2,1,True,2,2,True,2,3,False,4,2,2,3,1.0,round_winner_bet,c_4,,,,3.0,-1.0,,,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
7,2,0,False,1,0,True,2,1,True,2,2,True,2,3,False,4,2,2,3,2.0,move_trap,,,-1.0,5.0,3.0,-1.0,5.0,-1.0,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
8,2,0,False,1,0,True,2,1,True,2,2,True,2,3,False,4,2,2,3,3.0,round_winner_bet,c_1,,,,3.0,-1.0,5.0,-1.0,,,,fixed_order_4player_g167,RollAgent,20,GreedyAgent,24,GreedyAgent,35,GreedyAgent,40,GreedyAgent
